query_id,question,title
43,When was the fourth satellite for the BeiDou-1 system launched?,BeiDou_Navigation_Satellite_System
44,What events ended the war with Japan?,Pacific_War
45,In Ireland what word is mainly used instead of university?,University
46,What year did the Crimean War begin?,Crimean_War
47,Which season 11 contestant had to go to the hospital before the Top 13 Results?,American_Idol
48,Where do students in the Washington University School of Law place among test takers on average?,Washington_University_in_St._Louis
49,What act gave control of Saint Helena to the British Crown?,Saint_Helena
50,Which form of government did Galicia start using in 1975,Galicia_(Spain)
51,Who designed the City of Arts and Sciences?,Valencia
52,The government structure of the New Delhi Municipal Council includes three members from what government body?,New_Delhi
53,Where does Miami rank in population among US cities?,Miami
54,A simple model is also referred to as what?,Communication
55,What wiped out one third of East Prussia's population during the early 1700's?,East_Prussia
56,When were the new plans of the airport revealed?,Mexico_City
57,Who argued against works where the author listens to input from others?,Textual_criticism
58,What is the daily average temperature in July?,"Atlantic_City,_New_Jersey"
59,When did the EU ban antibiotics for speeding up growth?,Antibiotics
60,Who designed the bridge?,Oklahoma_City
61,"Besides English, what is the national language of Tuvalu?",Tuvalu
62,What year did American forces start being stationed in Vietnam?,United_States_Army
63,Which church was established in Kodiak in 1795?,Alaska
64,When did Gregory the Great become pope?,Middle_Ages
65,The LAME encoder allows bit rates that are what?,MP3
66,What percentage of the modern Ashkenazi genome could possibly be of European origin?,Ashkenazi_Jews
67,How many square miles of territory were added to the British Empire between 1815 and 1914?,British_Empire
68,How big were the tesserae in the Komnenian period miniature mosaic icons?,Mosaic
69,"Who started construction of a 40,000-tonne Vikrant-class carrier in 2009?",Aircraft_carrier
70,What is the meaning of dichotomous keys?,Botany
71,"What is ""dollars"" a reference to?",United_States_dollar
72,What is Maria Shriver's relation to President John F. Kennedy,Arnold_Schwarzenegger
73,Who was Ashikaga Yoshimasa?,Samurai
74,According to democratic rules of the 106th congress what committee does minority leader chair?,Party_leaders_of_the_United_States_House_of_Representatives
75,Where did the Bells live when the Halifax Explosion happened?,Alexander_Graham_Bell
76,What is the religion of the Greek majority ?,Greeks
77,Christoph Waltz's appearance in future Bond movies is contingent on the appearance of which other actor?,Spectre_(2015_film)
78,"What could have blasted Neptune and Uranus's atmosphere with radiation, aiding in creation?",Neptune
79,Tito was awarded the Star of what country?,Josip_Broz_Tito
80,What are written with very precise rules?,Chinese_characters
81,What is the main source of interspersed repeats?,Genome
82,What document governs the defense of the Marshall Islands?,Marshall_Islands
83,In what decade were the first Somali feature films made?,Somalis
84,What type of land is Antarctica considered to be?,Antarctica
85,UI redress attack or User Interface redress attack is also known as what?,Computer_security
86,When did the Jiajing Emperor reign?,Sino-Tibetan_relations_during_the_Ming_dynasty
87,What is the name of the national rugby union stadium located in South-West London?,London
88,Who gave Spectre a perfect rating in The Daily Telegraph?,Spectre_(2015_film)
89,Who was most influential in Islamic philosophy?,History_of_science
90,Where does 155th Street start?,List_of_numbered_streets_in_Manhattan
91,Where are the Harz mountains located?,Thuringia
92,What was considered to be dominant part of normal life?,Roman_Republic
93,What is the antebellum age?,Modern_history
94,Who suspected that the proposed baronial council would be unacceptable?,"John,_King_of_England"
95,Who wrote polemics regarding Roman Catholic beliefs about Mary?,Mary_(mother_of_Jesus)
96,What is the name of the lifestyle column of The Times?,The_Times
97,What does Building Partnerships relate to in the Air Force?,United_States_Air_Force
98,What is uncertain about the Cretaceous?,Mesozoic
99,"What is the word for a beardless, athletic youth?",Apollo
