doc_id,title,text,source_key
20,Boston,"Boston was an early port of the Atlantic triangular slave trade in the New England colonies, but was soon overtaken by Salem, Massachusetts and Newport, Rhode Island. Eventually Boston became a center of the abolitionist movement. The city reacted strongly to the Fugitive Slave Law of 1850, contributing to President Franklin Pierce's attempt to make an example of Boston after the Anthony Burns Fugitive Slave Case.",63:8:0
21,Separation_of_church_and_state_in_the_United_States,"In 2002, a three judge panel on the Ninth Circuit Court of Appeals held that classroom recitation of the Pledge of Allegiance in a California public school was unconstitutional, even when students were not compelled to recite it, due to the inclusion of the phrase ""under God."" In reaction to the case, Elk Grove Unified School District v. Newdow, both houses of Congress passed measures reaffirming their support for the pledge, and condemning the panel's ruling. The case was appealed to the Supreme Court, where the case was ultimately overturned in June 2004, solely on procedural grounds not related to the substantive constitutional issue. Rather, a five-justice majority held that Newdow, a non-custodial parent suing on behalf of his daughter, lacked standing to sue.",426:26:0
22,Green,"Thus, the languages mentioned above (Germanic, Romance, Slavic, Greek) have old terms for ""green"" which are derived from words for fresh, sprouting vegetation. However, comparative linguistics makes clear that these terms were coined independently, over the past few millennia, and there is no identifiable single Proto-Indo-European or word for ""green"". For example, the Slavic zelenъ is cognate with Sanskrit hari ""yellow, ochre, golden"". The Turkic languages also have jašɨl ""green"" or ""yellowish green"", compared to a Mongolian word for ""meadow"".",292:2:0
23,Northwestern_University,"The Feinberg School of Medicine (previously the Northwestern University Medical School) has produced a number of notable graduates, including Mary Harris Thompson, Class of 1870, ad eundem, first female surgeon in Chicago, first female surgeon at Cook County Hospital, and founder of the Mary Thomson Hospital, Roswell Park, Class of 1876, prominent surgeon for whom the Roswell Park Cancer Institute in Buffalo, New York, is named, Daniel Hale Williams, Class of 1883, performed the first successful American open heart surgery; only black charter member of the American College of Surgeons, Charles Horace Mayo, Class of 1888, co-founder of Mayo Clinic, Carlos Montezuma, Class of 1889, one of the first Native Americans to receive a Doctor of Medicine degree from any school, and founder of the Society of American Indians, Howard T. Ricketts, Class of 1897, who discovered bacteria of the genus Rickettsia, and identified the cause and methods of transmission of rocky mountain spotted fever, Allen B. Kanavel, Class of 1899, founder, regent, and president of the American College of Surgeons, internationally recognized as founder of modern hand and peripheral nerve surgery, Robert F. Furchgott, Class of 1940, received a Lasker Award in 1996 and the 1998 Nobel Prize in Physiology or Medicine for his co-discovery of nitric oxide, Thomas E. Starzl, Class of 1952, performed the first successful liver transplant in 1967 and received the National Medal of Science in 2004 and a Lasker Award in 2012, Joseph P.",188:43:0
24,Canadian_Armed_Forces,"All equipment must be suitable for a mixed-gender force. Combat helmets, rucksacks, combat boots, and flak jackets are designed to ensure women have the same level of protection and comfort as their male colleagues. The women's uniform is similar in design to the men's uniform, but conforms to the female figure, and is functional and practical. Women are also provided with an annual financial entitlement for the purchase of brassiere undergarments.",33:22:0
25,Dwight_D._Eisenhower,"Early in 1953, the French asked Eisenhower for help in French Indochina against the Communists, supplied from China, who were fighting the First Indochina War. Eisenhower sent Lt. General John W. ""Iron Mike"" O'Daniel to Vietnam to study and assess the French forces there. Chief of Staff Matthew Ridgway dissuaded the President from intervening by presenting a comprehensive estimate of the massive military deployment that would be necessary. Eisenhower stated prophetically that ""this war would absorb our troops by divisions.""",433:60:0
26,Bacteria,"Once regarded as plants constituting the class Schizomycetes, bacteria are now classified as prokaryotes. Unlike cells of animals and other eukaryotes, bacterial cells do not contain a nucleus and rarely harbour membrane-bound organelles. Although the term bacteria traditionally included all prokaryotes, the scientific classification changed after the discovery in the 1990s that prokaryotes consist of two very different groups of organisms that evolved from an ancient common ancestor. These evolutionary domains are called Bacteria and Archaea.",392:3:0
27,Unicode,"The set of graphic and format characters defined by Unicode does not correspond directly to the repertoire of abstract characters that is representable under Unicode. Unicode encodes characters by associating an abstract character with a particular code point. However, not all abstract characters are encoded as a single Unicode character, and some abstract characters may be represented in Unicode by a sequence of two or more characters. For example, a Latin small letter ""i"" with an ogonek, a dot above, and an acute accent, which is required in Lithuanian, is represented by the character sequence U+012F, U+0307, U+0301. Unicode maintains a list of uniquely named character sequences for abstract characters that are not directly encoded in Unicode.",295:7:0
28,Karl_Popper,"In 1928, he earned a doctorate in psychology, under the supervision of Karl Bühler. His dissertation was entitled ""Die Methodenfrage der Denkpsychologie"" (The question of method in cognitive psychology). In 1929, he obtained the authorisation to teach mathematics and physics in secondary school, which he started doing. He married his colleague Josefine Anna Henninger (1906–1985) in 1930. Fearing the rise of Nazism and the threat of the Anschluss, he started to use the evenings and the nights to write his first book Die beiden Grundprobleme der Erkenntnistheorie (The Two Fundamental Problems of the Theory of Knowledge). He needed to publish one to get some academic position in a country that was safe for people of Jewish descent. However, he ended up not publishing the two-volume work, but a condensed version of it with some new material, Logik der Forschung (The Logic of Scientific Discovery), in 1934. Here, he criticised psychologism, naturalism, inductionism, and logical positivism, and put forth his theory of potential falsifiability as the criterion demarcating science from non-science. In 1935 and 1936, he took unpaid leave to go to the United Kingdom for a study visit.",323:4:0
29,Queen_(band),"Between 2005 and 2006, Queen + Paul Rodgers embarked on a world tour, which was the first time Queen toured since their last tour with Freddie Mercury in 1986. The band's drummer Roger Taylor commented; ""We never thought we would tour again, Paul [Rodgers] came along by chance and we seemed to have a chemistry. Paul is just such a great singer. He's not trying to be Freddie."" The first leg was in Europe, the second in Japan, and the third in the US in 2006. Queen received the inaugural VH1 Rock Honors at the Mandalay Bay Events Center in Las Vegas, Nevada, on 25 May 2006. The Foo Fighters paid homage to the band in performing ""Tie Your Mother Down"" to open the ceremony before being joined on stage by May, Taylor, and Paul Rodgers, who played a selection of Queen hits.",216:36:0
30,Jews,"By the 1st century, Babylonia, to which Jews migrated to after the Babylonian conquest as well as after the Bar Kokhba revolt in 135 CE, already held a speedily growing population of an estimated 1,000,000 Jews, which increased to an estimated 2 million between the years 200 CE – 500 CE, both by natural growth and by immigration of more Jews from the Land of Israel, making up about 1/6 of the world Jewish population at that era. At times conversion has accounted for a part of Jewish population growth. Some have claimed that in the 1st century of the Christian era, for example, the population more than doubled, from four to 8–10 million within the confines of the Roman Empire, in good part as a result of a wave of conversion.",227:12:0
31,"Atlantic_City,_New_Jersey","In 1903, Josiah White III bought a parcel of land near Ohio Avenue and the boardwalk and built the Queen Anne style Marlborough House. The hotel was a hit and, in 1905–06, he chose to expand the hotel and bought another parcel of land next door to his Marlborough House. In an effort to make his new hotel a source of conversation, White hired the architectural firm of Price and McLanahan. The firm made use of reinforced concrete, a new building material invented by Jean-Louis Lambot in 1848 (Joseph Monier received the patent in 1867). The hotel's Spanish and Moorish themes, capped off with its signature dome and chimneys, represented a step forward from other hotels that had a classically designed influence. White named the new hotel the Blenheim and merged the two hotels into the Marlborough-Blenheim. Bally's Atlantic City was later constructed at this location.",110:7:0
32,Dominican_Order,"Humbert of Romans, the master general of the order from 1254 to 1263, was a great administrator, as well as preacher and writer. It was under his tenure as master general that the sisters in the order were given official membership. Humbert was a great lover of languages, and encouraged linguistic studies among the Dominicans, primarily Arabic, because of the missionary work friars were pursuing amongst those led astray or forced to convert by Muslims in the Middle East. He also wanted his friars to reach excellence in their preaching, and this was his most lasting contribution to the order. The growth of the spirituality of young preachers was his first priority. He once cried to his students: ""... consider how excellent this office [of preaching] is, because it is apostolic; how useful, because it is directly ordained for the salvation of souls; how perilous, because few have in them, or perform, what the office requires, for it is not without great danger ... , vol. xxv. (Lyon, 1677)",287:23:0
33,Separation_of_church_and_state_in_the_United_States,"Steven Waldman notes that; ""The evangelicals provided the political muscle for the efforts of Madison and Jefferson, not merely because they wanted to block official churches but because they wanted to keep the spiritual and secular worlds apart."" ""Religious freedom resulted from an alliance of unlikely partners,"" writes the historian Frank Lambert in his book The Founding Fathers and the Place of Religion in America. ""New Light evangelicals such as Isaac Bachus and John Leland joined forces with Deists and skeptics such as James Madison and Thomas Jefferson to fight for a complete separation of church and state.""",426:38:0
34,The_Legend_of_Zelda:_Twilight_Princess,"Twilight Princess received the awards for Best Artistic Design, Best Original Score, and Best Use of Sound from IGN for its GameCube version. Both IGN and Nintendo Power gave Twilight Princess the awards for Best Graphics and Best Story. Twilight Princess received Game of the Year awards from GameTrailers, 1UP.com, Electronic Gaming Monthly, Game Informer, Games Radar, GameSpy, Spacey Awards, X-Play and Nintendo Power. It was also given awards for Best Adventure Game from the Game Critics Awards, X-Play, IGN, GameTrailers, 1UP.com, and Nintendo Power. The game was considered the Best Console Game by the Game Critics Awards and GameSpy. The game placed 16th in Official Nintendo Magazine's list of the 100 Greatest Nintendo Games of All Time. IGN ranked the game as the 4th-best Wii game. Nintendo Power ranked the game as the third-best game to be released on a Nintendo system in the 2000s decade.",8:29:0
35,Armenia,"International observers of Council of Europe and US Department of State have questioned the fairness of Armenia's parliamentary and presidential elections and constitutional referendum since 1995, citing polling deficiencies, lack of cooperation by the Electoral Commission, and poor maintenance of electoral lists and polling places. Freedom House categorized Armenia in its 2008 report as a ""Semi-consolidated Authoritarian Regime"" (along with Moldova, Kosovo, Kyrgyzstan, and Russia) and ranked Armenia 20th among 29 nations in transition, with a Democracy Score of 5.21 out of 7 (7 represents the lowest democratic progress).",391:27:0
36,United_States_Army,"The United States Army (USA) is the largest branch of the United States Armed Forces and performs land-based military operations. It is one of the seven uniformed services of the United States and is designated as the Army of the United States in the United States Constitution, Article 2, Section 2, Clause 1 and United States Code, Title 10, Subtitle B, Chapter 301, Section 3001. As the largest and senior branch of the U.S. military, the modern U.S. Army has its roots in the Continental Army, which was formed (14 June 1775) to fight the American Revolutionary War (1775–83)—before the U.S. was established as a country. After the Revolutionary War, the Congress of the Confederation created the United States Army on 3 June 1784, to replace the disbanded Continental Army. The United States Army considers itself descended from the Continental Army, and dates its institutional inception from the origin of that armed force in 1775.",162:4:0
37,Russian_Soviet_Federative_Socialist_Republic,"Many regions in Russia were affected by the Soviet famine of 1932–1933: Volga; Central Black Soil Region; North Caucasus; the Urals; the Crimea; part of Western Siberia; and the Kazak ASSR. With the adoption of the 1936 Soviet Constitution on December 5, 1936, the size of the RSFSR was significantly reduced. The Kazakh ASSR and Kirghiz ASSR were transformed into the Kazakh and Kirghiz Soviet Socialist Republics. The Karakalpak Autonomous Socialist Soviet Republic was transferred to the Uzbek SSR.",54:17:0
38,Arnold_Schwarzenegger,"On April 26, 1986, Schwarzenegger married television journalist Maria Shriver, niece of President John F. Kennedy, in Hyannis, Massachusetts. The Rev. John Baptist Riordan performed the ceremony at St. Francis Xavier Catholic Church. They have four children: Katherine Eunice Schwarzenegger (born December 13, 1989 in Los Angeles); Christina Maria Aurelia Schwarzenegger (born July 23, 1991 in Los Angeles); Patrick Arnold Shriver Schwarzenegger (born September 18, 1993 in Los Angeles); and Christopher Sargent Shriver Schwarzenegger (born September 27, 1997 in Los Angeles). Schwarzenegger lives in a 11,000-square-foot (1,000 m2) home in Brentwood. The divorcing couple currently own vacation homes in Sun Valley, Idaho and Hyannis Port, Massachusetts. They attended St. Monica's Catholic Church. Following their separation, it is reported that Schwarzenegger is dating physical therapist Heather Milligan.",42:70:0
39,Anti-aircraft_warfare,"Although the firearms used by the infantry, particularly machine guns, can be used to engage low altitude air targets, on occasion with notable success, their effectiveness is generally limited and the muzzle flashes reveal infantry positions. Speed and altitude of modern jet aircraft limit target opportunities, and critical systems may be armored in aircraft designed for the ground attack role. Adaptations of the standard autocannon, originally intended for air-to-ground use, and heavier artillery systems were commonly used for most anti-aircraft gunnery, starting with standard pieces on new mountings, and evolving to specially designed guns with much higher performance prior to World War II.",158:47:0
40,History_of_India,"Several Islamic kingdoms (sultanates) under both foreign and, newly converted, Rajput rulers were established across the north western subcontinent (Afghanistan and Pakistan) over a period of a few centuries. From the 10th century, Sindh was ruled by the Rajput Soomra dynasty, and later, in the mid-13th century by the Rajput Samma dynasty. Additionally, Muslim trading communities flourished throughout coastal south India, particularly on the western coast where Muslim traders arrived in small numbers, mainly from the Arabian peninsula. This marked the introduction of a third Abrahamic Middle Eastern religion, following Judaism and Christianity, often in puritanical form. Mahmud of Ghazni in the early 11th century raided mainly the north-western parts of the Indian sub-continent 17 times, but he did not seek to establish ""permanent dominion"" in those areas.",304:45:0
41,Qing_dynasty,"Zeng Guofan had no prior military experience. Being a classically educated official, he took his blueprint for the Xiang Army from the Ming general Qi Jiguang, who, because of the weakness of regular Ming troops, had decided to form his own ""private"" army to repel raiding Japanese pirates in the mid-16th century. Qi Jiguang's doctrine was based on Neo-Confucian ideas of binding troops' loyalty to their immediate superiors and also to the regions in which they were raised. Zeng Guofan's original intention for the Xiang Army was simply to eradicate the Taiping rebels. However, the success of the Yongying system led to its becoming a permanent regional force within the Qing military, which in the long run created problems for the beleaguered central government.",419:68:0
42,Korean_War,"On 1 March 1951 Mao sent a cable to Stalin, in which he emphasized the difficulties faced by Chinese forces and the urgent need for air cover, especially over supply lines. Apparently impressed by the Chinese war effort, Stalin finally agreed to supply two air force divisions, three anti-aircraft divisions, and six thousand trucks. PVA troops in Korea continued to suffer severe logistical problems throughout the war. In late April Peng Dehuai sent his deputy, Hong Xuezhi, to brief Zhou Enlai in Beijing. What Chinese soldiers feared, Hong said, was not the enemy, but that they had nothing to eat, no bullets to shoot, and no trucks to transport them to the rear when they were wounded. Zhou attempted to respond to the PVA's logistical concerns by increasing Chinese production and improving methods of supply, but these efforts were never completely sufficient. At the same time, large-scale air defense training programs were carried out, and the Chinese Air Force began to participate in the war from September 1951 onward.",199:57:0
43,Montevideo,"In 1868, the horse-drawn tram company Compañía de Tranvías al Paso del Molino y Cerro created the first lines connecting Montevideo with Unión, the beach resort of Capurro and the industrialized and economically independent Villa del Cerro, at the time called Cosmopolis. In the same year, the Mercado del Puerto was inaugurated. In 1869, the first railway line of the company Ferrocarril Central del Uruguay was inaugurated connecting Bella Vista with the town of Las Piedras. During the same year and the next, the neighbourhoods Colón, Nuevo París and La Comercial were founded. The famous to our days Sunday market of Tristán Narvaja Street was established in Cordón in 1870. Public water supply was established in 1871. In 1878, Bulevar Circunvalación was constructed, a boulevard starting from Punta Carretas, going up to the north end of the city and then turning west to end at the beach of Capurro. It was renamed to Artigas Boulevard (its current name) in 1885. By Decree, on 8 January 1881, the area Los Pocitos was incorporated to the Novísima Ciudad (Most New City).",190:9:0
44,Myanmar,"A diverse range of indigenous cultures exist in Myanmar, the majority culture is primarily Buddhist and Bamar. Bamar culture has been influenced by the cultures of neighbouring countries. This is manifested in its language, cuisine, music, dance and theatre. The arts, particularly literature, have historically been influenced by the local form of Theravada Buddhism. Considered the national epic of Myanmar, the Yama Zatdaw, an adaptation of India's Ramayana, has been influenced greatly by Thai, Mon, and Indian versions of the play. Buddhism is practised along with nat worship, which involves elaborate rituals to propitiate one from a pantheon of 37 nats.",226:68:0
45,Culture,"Cultures are externally affected via contact between societies, which may also produce—or inhibit—social shifts and changes in cultural practices. War or competition over resources may impact technological development or social dynamics. Additionally, cultural ideas may transfer from one society to another, through diffusion or acculturation. In diffusion, the form of something (though not necessarily its meaning) moves from one culture to another. For example, hamburgers, fast food in the United States, seemed exotic when introduced into China. ""Stimulus diffusion"" (the sharing of ideas) refers to an element of one culture leading to an invention or propagation in another. ""Direct Borrowing"" on the other hand tends to refer to technological or tangible diffusion from one culture to another. Diffusion of innovations theory presents a research-based model of why and when individuals and cultures adopt new ideas, practices, and products.",297:6:0
46,Canon_law,"Much of the legislative style was adapted from the Roman Law Code of Justinian. As a result, Roman ecclesiastical courts tend to follow the Roman Law style of continental Europe with some variation, featuring collegiate panels of judges and an investigative form of proceeding, called ""inquisitorial"", from the Latin ""inquirere"", to enquire. This is in contrast to the adversarial form of proceeding found in the common law system of English and U.S. law, which features such things as juries and single judges.",65:10:0
47,Treaty,"In some rare cases, such as with Ethiopia and Qing Dynasty China, the local governments were able to use the treaties to at least mitigate the impact of European colonization. This involved learning the intricacies of European diplomatic customs and then using the treaties to prevent a power from overstepping their agreement or by playing different powers against each other.",86:54:0
48,Diarrhea,"About 1.7 to 5 billion cases of diarrhea occur per year. It is most common in developing countries, where young children get diarrhea on average three times a year. Total deaths from diarrhea are estimated at 1.26 million in 2013 – down from 2.58 million in 1990. In 2012, it is the second most common cause of deaths in children younger than five (0.76 million or 11%). Frequent episodes of diarrhea are also a common cause of malnutrition and the most common cause in those younger than five years of age. Other long term problems that can result include stunted growth and poor intellectual development.",347:3:0
49,Canadian_Armed_Forces,"The Cadet Organizations Administration and Training Service (COATS) consists of officers and non-commissioned members who conduct training, safety, supervision and administration of nearly 60,000 cadets aged 12 to 18 years in the Canadian Cadet Movement. The majority of members in COATS are officers of the Cadet Instructors Cadre (CIC) branch of the CAF. Members of the Reserve Force Sub-Component COATS who are not employed part-time (Class A) or full-time (Class B) may be held on the ""Cadet Instructor Supplementary Staff List"" (CISS List) in anticipation of employment in the same manner as other reservists are held as members of the Supplementary Reserve.",33:40:0
50,Han_dynasty,"When Empress Dowager Deng died, Emperor An (r. 106–125 AD) was convinced by the accusations of the eunuchs Li Run (李閏) and Jiang Jing (江京) that Deng and her family had planned to depose him. An dismissed Deng's clan members from office, exiled them and forced many to commit suicide. After An's death, his wife, Empress Dowager Yan (d. 126 AD) placed the child Marquess of Beixiang on the throne in an attempt to retain power within her family. However, palace eunuch Sun Cheng (d. 132 AD) masterminded a successful overthrow of her regime to enthrone Emperor Shun of Han (r. 125–144 AD). Yan was placed under house arrest, her relatives were either killed or exiled, and her eunuch allies were slaughtered. The regent Liang Ji (d. 159 AD), brother of Empress Liang Na (d. 150 AD), had the brother-in-law of Consort Deng Mengnü (later empress) (d. 165 AD) killed after Deng Mengnü resisted Liang Ji's attempts to control her. Afterward, Emperor Huan employed eunuchs to depose Liang Ji, who was then forced to commit suicide.",373:20:0
